1720187005.111		1806657	2005	22	1804605	25	1806462	1024	220	0	200
1720187005.139		1791362	1350	13	1789931	68	1791174	1024	220	0	200
1720187004.646		2296920	1974	45	2294876	25	2296741	1024	220	0	200
1720187005.107		1837536	2061	21	1835427	27	1837312	1024	220	0	200
1720187004.713		2233636	1742	16	2231854	24	2233485	1024	219	0	200
1720187004.943		2007938	1813	33	2006067	25	2007756	1024	220	0	200
1720187005.591		1363805	2632	22	1361134	17	1363629	1024	220	0	200
1720187005.334		1640222	1955	31	1638219	17	1640046	1024	220	0	200
1720187005.009		1986035	1447	21	1984541	26	1985883	1024	220	0	200
1720187005.528		1476622	1550	18	1475025	29	1476438	1024	219	0	200
1720187005.270		1739915	1684	15	1738192	24	1739769	1024	220	0	200
1720187005.398		1633979	1520	29	1632415	15	1633819	1024	220	0	200
1720187004.878		2231414	2136	52	2229211	15	2231175	1024	219	0	200
1720187004.778		2391602	2968	52	2388552	30	2391246	1024	220	0	200
1720187005.463		1797835	1513	49	1796257	16	1797648	1024	220	0	200
1720187004.553		2722819	3907	41	2718848	23	2722612	1024	219	0	200
1720187005.624		1742247	1443	14	1740771	19	1742115	1024	220	0	200
1720187005.302		2071889	1503	12	2070356	18	2071750	1024	220	0	200
1720187005.204		2169988	1509	15	2168429	35	2169838	1024	219	0	200
1720187004.975		2412934	1516	29	2411374	15	2412779	1024	220	0	200
1720187004.746		2646310	2307	66	2643910	27	2645987	1024	220	0	200
1720187004.811		2593740	2375	30	2591316	19	2593532	1024	220	0	200
1720187005.111		2302349	1839	7	2300482	21	2302296	1024	220	0	200
1720187005.111		2302904	1821	17	2301053	13	2302833	1024	220	0	200
1720187004.910		2504625	2649	27	2501929	20	2504422	1024	220	0	200
1720187005.041		2382120	1549	14	2380532	25	2381972	1024	219	0	200
1720187004.580		2881450	3089	40	2878292	29	2881000	1024	220	0	200
1720187005.719		1753685	1312	17	1752338	18	1753554	1024	220	0	200
1720187005.366		2106466	1342	15	2105098	11	2106346	1024	219	0	200
1720187005.236		2239936	1499	15	2238406	16	2239795	1024	220	0	200
1720187005.430		2053346	1468	24	2051834	20	2053182	1024	220	0	200
1720187005.655		1830135	1406	14	1828691	24	1829995	1024	220	0	200
1720187005.496		1996587	1467	29	1995063	28	1996441	1024	220	0	200
1720187005.559		1935427	1415	15	1933976	21	1935292	1024	220	0	200
1720187004.679		2817726	1720	30	2815959	17	2817558	1024	220	0	200
1720187005.172		2337099	1443	14	2335628	14	2336975	1024	220	0	200
1720187005.783		1730141	1662	16	1728431	32	1729950	1024	220	0	200
1720187005.909		1656752	1587	36	1655109	20	1656597	1024	220	0	200
1720187005.847		1738051	1511	16	1736509	15	1737909	1024	219	0	200
1720187005.688		2128293	27236	14	2101004	39	2102187	1024	219	0	200
