1720511915.187		58159	1703	20	56405	31	58017	1041	218	0	200
1720511915.238		41750	1685	17	40028	20	41557	1041	218	0	200
1720511915.287		58305	1875	17	56384	29	58142	1040	217	0	200
1720511915.337		18340	1637	18	16645	40	18175	1041	218	0	200
1720511915.388		36565	1616	34	34897	18	36404	1041	218	0	200
1720511915.436		41649	1633	31	39959	26	41490	1040	217	0	200
1720511915.486		18814	1558	16	17219	21	18663	1041	218	0	200
1720511915.536		23664	1768	17	21860	19	23531	1041	218	0	200
1720511915.146		462574	429739	40	32769	26	462410	1040	217	0	200
1720511915.585		35263	1165	15	34067	16	35137	1040	217	0	200
1720511915.634		20924	1369	15	19506	34	20780	1041	218	0	200
1720511915.684		20410	1566	14	18804	26	20272	1041	218	0	200
1720511915.733		41466	7554	71	33809	32	40890	1040	217	0	200
1720511915.782		18616	1421	15	17116	64	18448	1041	218	0	200
1720511915.831		22817	1208	21	21564	24	22671	1041	218	0	200
1720511915.881		32499	1445	35	31003	16	32353	1040	217	0	200
1720511915.930		26203	1417	15	24753	18	26075	1041	218	0	200
1720511915.980		19293	1397	31	17806	59	19099	1041	218	0	200
1720511916.028		29510	1293	39	28161	17	29354	1040	217	0	200
1720511916.076		24858	1297	14	23531	16	24735	1041	218	0	200
1720511916.125		27065	1362	16	25670	17	26937	1041	218	0	200
1720511916.174		27721	1340	17	26349	15	27584	1040	217	0	200
1720511916.223		20595	1523	24	19033	15	20458	1041	218	0	200
1720511916.271		26983	1347	17	25601	18	26848	1041	218	0	200
1720511916.320		34321	6661	123	27513	24	33842	1040	217	0	200
1720511916.369		26398	1408	20	24951	19	26251	1041	218	0	200
1720511916.418		18921	1471	16	17409	25	18775	1041	218	0	200
1720511916.465		23681	1391	15	22260	15	23551	1040	217	0	200
1720511916.514		17650	1427	14	16173	36	17514	1041	218	0	200
1720511916.562		20657	1574	17	19029	37	20472	1041	218	0	200
1720511916.610		32397	1474	16	30889	18	32264	1040	217	0	200
1720511916.659		22362	1426	33	20887	16	22205	1041	218	0	200
1720511916.708		22269	1426	15	20811	17	22135	1041	218	0	200
1720511916.755		32554	1325	14	31199	16	32431	1040	217	0	200
1720511916.804		16744	1300	16	15408	20	16588	1041	218	0	200
1720511916.851		61918	32319	15	29568	16	30947	1041	218	0	200
1720511916.899		27710	1416	45	26232	17	27541	1040	217	0	200
1720511916.947		20014	1349	16	18629	20	19883	1041	218	0	200
1720511916.994		31554	1497	14	30028	15	31425	1041	218	0	200
1720511917.042		28215	1454	15	26723	23	28076	1040	217	0	200
1720511917.090		20220	1494	16	18696	14	20093	1041	218	0	200
1720511917.138		26211	1384	16	24792	19	26080	1041	218	0	200
1720511917.185		32521	1400	17	31067	37	32347	1040	217	0	200
1720511917.233		17909	1471	21	16400	17	17775	1041	218	0	200
1720511917.281		29242	1437	15	27765	25	29104	1041	218	0	200
1720511917.329		27842	1506	30	26287	19	27663	1040	217	0	200
1720511917.375		22200	1526	15	20643	16	22063	1041	218	0	200
1720511917.422		23584	1511	31	22027	15	23432	1041	218	0	200
1720511917.470		43167	1453	30	41668	16	42998	1040	217	0	200
1720511917.518		19942	1462	20	18444	16	19806	1041	218	0	200
1720511917.564		22379	1276	44	21042	17	22221	1041	218	0	200
1720511917.611		27964	1453	13	26481	17	27838	1040	217	0	200
1720511917.659		15930	1432	16	14464	18	15791	1041	218	0	200
1720511917.706		26154	1513	14	24611	16	26024	1041	218	0	200
1720511917.753		27761	1595	30	26122	14	27620	1040	217	0	200
1720511917.799		17092	1312	14	15749	17	16965	1041	218	0	200
1720511917.846		19492	1293	29	18133	37	19335	1041	218	0	200
1720511917.893		23853	1451	31	22356	15	23706	1040	217	0	200
1720511917.940		16377	1497	17	14836	27	16234	1041	218	0	200
1720511917.986		18449	1378	15	17039	17	18321	1041	218	0	200
1720511918.033		27409	1576	16	25797	20	27278	1040	217	0	200
1720511918.079		20653	1320	15	19303	15	20522	1041	218	0	200
1720511918.126		20308	1463	14	18816	15	20155	1041	218	0	200
1720511918.172		36465	1583	21	34842	19	36310	1040	217	0	200
1720511918.219		21371	1474	31	19849	17	21216	1041	218	0	200
1720511918.265		28422	1435	14	26956	17	28292	1041	218	0	200
1720511918.358		26977	1530	18	25408	21	26828	1041	218	0	200
1720511918.312		77420	1303	15	76086	16	77290	1040	217	0	200
1720511918.404		20390	1477	15	18882	16	20259	1041	218	0	200
1720511918.450		26143	1404	23	24700	16	25993	1040	217	0	200
1720511918.496		26171	1463	17	24674	17	26034	1041	218	0	200
1720511918.543		23462	1338	14	22082	28	23326	1041	218	0	200
1720511918.589		31624	1419	17	30171	17	31493	1040	217	0	200
1720511918.636		16411	1590	16	14785	20	16233	1041	218	0	200
1720511918.681		24771	1537	15	23203	16	24647	1041	218	0	200
1720511918.727		29936	1391	38	28472	35	29765	1040	217	0	200
1720511918.773		18489	1415	14	17043	17	18363	1041	218	0	200
1720511918.818		18538	1530	18	16972	18	18378	1041	218	0	200
1720511918.865		37725	1459	24	36195	47	37554	1040	217	0	200
1720511918.910		20700	1378	14	19292	16	20574	1041	218	0	200
1720511918.955		22037	1463	26	20532	16	21899	1041	218	0	200
1720511919.001		24060	1261	16	22766	17	23922	1040	217	0	200
1720511919.046		20593	1564	33	18981	15	20428	1041	218	0	200
1720511919.092		23018	1729	16	21257	16	22885	1041	218	0	200
1720511919.139		29767	1551	15	28183	18	29627	1040	217	0	200
1720511919.184		17323	1703	27	15577	16	17167	1041	218	0	200
1720511919.228		39032	1341	14	37662	15	38906	1041	218	0	200
