1720181186.759		17098	5090	53	11908	47	16678	990	99	0	403
1720181183.833		3760682	64967	41	3695642	32	3760500	1026	219	0	200
1720181187.705		13664	5220	80	8302	62	13165	990	99	0	403
1720181184.822		3251327	1625	34	3249649	19	3251125	1026	220	0	200
1720181185.798		2281664	1614	18	2279989	43	2281485	1026	220	0	200
1720181188.638		1474432	6738	65	1467587	42	1473936	1026	219	0	200
1720181189.557		1464260	2181	48	1461972	59	1463947	1026	220	0	200
1720181191.358		10868	4038	81	6619	130	10412	990	99	0	403
1720181190.464		1516764	2073	21	1514654	16	1516578	1026	220	0	200
1720181192.241		11118	5810	36	5247	25	10672	990	99	0	403
1720181193.113		1653285	1291	14	1651936	44	1653117	1026	219	0	200
1720181195.664		3420	1432	14	1953	21	3283	990	99	0	403
1720181193.972		1846343	2395	26	1843882	40	1846113	1026	220	0	200
1720181196.494		4441	1705	16	2703	17	4289	990	99	0	403
1720181194.822		1844610	2138	21	1842435	16	1844428	1026	220	0	200
1720181197.315		1460970	4424	41	1456470	35	1460664	1026	219	0	200
1720181199.725		4858	1838	16	2988	16	4705	990	99	0	403
1720181198.127		1670159	1575	15	1668548	21	1670020	1026	220	0	200
1720181200.512		6949	2509	27	4388	25	6714	990	99	0	403
1720181198.930		1604808	2463	59	1602253	33	1604541	1026	220	0	200
1720181201.290		1692504	3070	30	1689373	31	1692198	1026	219	0	200
1720181203.580		3725	1523	13	2175	14	3613	990	99	0	403
1720181202.060		1553921	2273	19	1551614	15	1553791	1026	220	0	200
1720181204.329		4135	1517	31	2572	15	3946	990	99	0	403
1720181202.824		1598293	2171	75	1595979	68	1598005	1026	220	0	200
