1720180852.016		3519	1830	26	1606	57	3344	1026	120	0	400
1720180853.005		5546	3260	53	2171	62	5234	1026	120	0	400
1720180853.981		6318	3621	36	2588	73	5981	1026	120	0	400
1720180854.942		2514	1342	31	1108	33	2350	1026	120	0	400
1720180855.889		11304	6079	167	4921	137	10602	1026	120	0	400
1720180856.821		2720	1445	15	1233	27	2582	1026	120	0	400
1720180857.740		3705	1851	21	1785	48	3474	1026	120	0	400
1720180858.648		7807	4061	54	3619	73	7363	1026	120	0	400
1720180859.541		3299	1788	16	1403	92	3091	1026	120	0	400
1720180860.424		7655	4146	41	3398	70	7278	1026	120	0	400
